15_1	15_2	15_3	15_4	31_1	31_2	31_3	31_4	58_1	58_2	58_3	58_4	65_1	65_2	65_3	65_4	Amp_1	Amp_2	Amp_3	Amp_4	DF_1	DF_2	DF_3	DF_4	DH_1	DH_2	DH_3	DH_4	DI_1	DI_2	DI_3	DI_4	DK_1	DK_2	DK_3	DK_4	DL_1	DL_2	DL_3	DL_4	C: Student's T-test Significant JHamp_DI	C: Student's T-test significant	N: -Log Student's T-test p-value JHamp_DI	N: Student's T-test q-value JHamp_DI	N: Student's T-test Difference JHamp_DI	N: Student's T-test Test statistic JHamp_DI	T: Protein.Group	T: Protein.Ids	T: Protein.Names	T: Genes	T: First.Protein.Description	T: Gene name	T: PDB	T: UniProt names
NaN	12.5237	12.6149	12.4596	12.1473	12.4312	12.443	12.3662	11.4434	11.2581	11.3306	11.7917	11.9726	11.4981	11.8086	11.7031	10.7856	10.939	10.0161	10.2584	12.0574	11.7294	11.6653	11.8837	11.3041	11.4972	11.2108	11.7755	11.8357	12.1694	11.7749	11.4604	12.3369	12.0952	11.9027	11.5055	11.6923	12.1616	12.1365	11.8448	+	JHamp_DI	2.61575	0.000379531	-1.31035	-5.01234	A0A385XJ53;P0CF07;P0CF11;P0CF12	P0CF07;P0CF12;P0CF11;A0A385XJ53	INSA1_ECOLI;INSA5_ECOLI;INSA6_ECOLI;INSA9_ECOLI	insA1;insA5;insA6;insA9	Insertion element IS1 9 protein InsA	insA1;insA5;insA6;insA9		INSA1_ECOLI;INSA5_ECOLI;INSA6_ECOLI;INSA9_ECOLI
13,182	13.5136	13.7191	13.4466	14.1387	14.1459	13.9645	13.9842	13.7535	14.0439	13.9886	13.9517	13.9765	13.827	13.812	14.0785	12.7754	12.7997	12.3356	12.5913	13.8023	13.6981	13.2387	13.9077	14.1245	14.0114	13.8346	13.9064	14.1403	13.7832	13.9569	14.1831	13.6422	13.5141	14.1289	14.0233	14.303	14.3265	14.023	14.2005	+	JHamp_DI	4.19955	0	-1.39036	-9.84913	A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58	P0CE53;P0CE51;P0CE50;P0CE55;P0CE58;A0A385XJE6;P0CE54;P0CE49;P0CE52;P0CE56;P76071;P0CE57	INH10_ECOLI;INH11_ECOLI;INH21_ECOLI;INSH1_ECOLI;INSH2_ECOLI;INSH3_ECOLI;INSH4_ECOLI;INSH6_ECOLI;INSH7_ECOLI;INSH8_ECOLI;INSH9_ECOLI	insH1;insH10;insH11;insH2;insH21;insH3;insH4;insH6;insH7;insH8;insH9	Transposase InsH for insertion sequence element IS5U	insH1;insH10;insH11;insH2;insH21;insH3;insH4;insH6;insH7;insH8;insH9		INH10_ECOLI;INH11_ECOLI;INH21_ECOLI;INSH1_ECOLI;INSH2_ECOLI;INSH3_ECOLI;INSH4_ECOLI;INSH6_ECOLI;INSH7_ECOLI;INSH8_ECOLI;INSH9_ECOLI
11,0203	9.85597	9.8556	9.06161	NaN	8.85874	NaN	9.86974	8.31392	NaN	8.00158	8.68781	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.63343	9.37532	9.02286	10.5116	9.7141	9.80025	8.87815	10.0675	8.73871	NaN	NaN	NaN	NaN	7.90215	NaN	NaN	NaN	9.05837	NaN	9.41547			0	1	NaN	0	A5A613	A5A613	YCIY_ECOLI	yciY	Uncharacterized protein YciY	yciY		YCIY_ECOLI
11,3221	10.3516	10.3197	10.4553	10.5394	9.9255	10.6791	10.6917	10.1533	10.8148	10.3517	10.3495	11.3307	10.7801	10.7006	10.6826	11.4933	11.6547	11.9341	11.8198	10.3314	10.2418	10.5588	9.9524	10.1798	10.3341	NaN	10.8327	10.8383	9.43815	11.0124	10.3177	10.0837	10.4863	10.8151	9.98907	10.6817	10.4613	10.3334	10.5465	+	JHamp_DI	1.9515	0.00189176	1.32382	3.61369	O52982	O52982	YFJS_ECOLI	yfjS	Lipoprotein YfjS	yfjS		YFJS_ECOLI
18,9058	18.0225	18.0516	17.9407	18.117	18.2007	18.1544	18.1496	18.4429	18.5108	18.5927	18.5606	18.4605	18.4613	18.4346	18.3491	16.9894	16.7538	17.2925	17.2072	18.4718	18.5298	18.5885	18.5548	18.1942	18.1325	18.1759	18.3297	18.658	18.4744	18.6481	18.6497	18.5641	18.6379	18.7502	18.6247	18.6309	18.496	18.5016	18.5268	+	JHamp_DI	4.7	0	-1.54682	-12.0366	P00350	P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	gnd	2ZYA;2ZYD;3FWN	6PGD_ECOLI
15,3416	17.6514	17.4913	17.7481	17.6185	17.5324	17.5572	17.4762	17.6059	17.53	17.4843	17.574	16.9328	16.925	16.7163	16.9306	19.2211	19.3772	19.1612	19.0775	18.1708	18.0787	18.0789	18.0687	18.2974	18.2612	18.6294	18.3137	18.4962	18.4642	18.4753	18.4444	18.2842	18.2921	18.352	18.3378	18.3151	18.3048	18.29	18.3097	+	JHamp_DI	4.58933	0	0.739253	11.5176	P00363	P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	frdA	1KF6;1KFY;1L0V;2B76;3CIR;3P4P;3P4Q;3P4R;3P4S;4KX6;5VPN;6AWF;6B58	FRDA_ECOLI
13,042	13.4571	13.5719	13.4606	13.5396	13.5082	13.3628	13.2435	13.6851	13.7349	13.7752	13.6676	13.7911	13.7587	13.9025	13.6267	12.9382	13.3589	12.3143	12.5251	13.6769	13.472	13.4629	13.7874	13.7289	13.5732	14.0094	13.8951	14.1449	13.8218	14.2182	14.1859	13.7153	13.8958	14.1248	14.2199	13.8755	13.9022	13.7262	13.716	+	JHamp_DI	2.72126	0.00031753	-1.30858	-5.2608	P00370	P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	gdhA	2YFH;3SBO;4BHT	DHE4_ECOLI
15,5187	17.069	16.9083	16.9871	16.865	16.8696	16.8772	16.8612	16.4613	16.4238	16.5824	16.5693	16.549	16.6251	16.3642	16.6691	17.5512	17.5488	17.5717	17.6119	16.4764	16.4156	16.2921	16.5337	16.9024	16.7714	16.8147	16.8987	16.5551	16.6451	16.3964	16.4854	15.9093	16.0589	16.1056	16.0929	16.2667	16.408	16.3632	16.5743	+	JHamp_DI	5.88974	0	1.05041	19.2062	P00393	P00393	NDH_ECOLI	ndh	Type II NADH:quinone oxidoreductase	ndh		NDH_ECOLI
15,7602	16.5353	17.1623	16.8358	18.0122	18.1534	18.1347	18.142	17.3278	17.4012	17.5108	17.5562	18.804	18.611	18.6976	18.594	13.4466	13.2001	13.6659	13.5477	16.9173	16.9292	16.9273	16.7653	16.3679	16.3281	15.9055	16.7499	16.3107	16.4646	16.0002	16.5941	16.1325	16.3241	16.5989	16.5503	16.6269	16.4318	16.594	16.4383	+	JHamp_DI	5.69227	0	-2.87733	-17.7838	P00448	P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	sodA	1D5N;1EN4;1EN5;1EN6;1I08;1I0H;1IX9;1IXB;1MMM;1VEW;1ZLZ;3K9S;3OT7	SODM_ECOLI
17,4016	17.027	17.0232	17.0665	17.1768	17.2114	17.1995	17.1879	17.0868	17.0671	17.0767	17.1117	17.3625	17.2983	17.1953	17.3225	15.2919	15.1104	15.4694	15.3832	16.7972	16.7101	16.6145	16.8237	16.6831	16.6983	16.7179	16.7174	16.8839	16.7725	16.7399	16.7643	16.4831	16.7201	16.7395	16.6835	16.7053	16.7245	16.7264	16.7821	+	JHamp_DI	5.68523	0	-1.47641	-17.735	P00452	P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	nrdA	1QFN;1R1R;1RLR;2R1R;2X0X;2XAK;2XAP;2XAV;2XAW;2XAX;2XAY;2XAZ;2XO4;2XO5;3R1R;3UUS;4ERM;4ERP;4R1R;5CNS;5CNT;5CNU;5CNV;5R1R;6R1R;6W4X;7R1R	RIR1_ECOLI
17,9733	19.2815	19.2076	19.0994	19.2862	19.4013	19.3686	19.3207	17.4314	17.4439	17.1857	17.5434	16.448	16.7996	16.5755	16.8451	16.421	15.4074	16.6757	16.4348	18.6139	18.5965	18.4999	18.6101	18.6516	18.653	18.8968	18.7748	17.0749	17.5781	17.6433	17.5019	17.604	17.8032	17.7476	17.8117	17.8194	17.5784	17.6069	17.5638	+	JHamp_DI	2.10912	0.0012147	-1.21483	-3.92266	P00490	P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	malP	1AHP;1E4O;1L5V;1L5W;1L6I;1QM5;2ASV;2AV6;2AW3;2AZD;2ECP	PHSM_ECOLI
16,1857	16.5836	16.5197	16.4024	16.4551	16.4724	16.4731	16.3095	16.4783	16.6333	16.6559	16.8303	16.4285	16.5156	16.5305	16.6378	14.8822	14.581	15.3456	15.0447	17.4729	17.2698	17.4349	17.4267	16.9015	16.7958	17.0549	17.0257	17.3516	17.3694	17.2116	17.3778	17.0991	17.2691	17.3555	17.2806	17.2865	17.186	17.176	17.4653	+	JHamp_DI	5.15203	0	-2.36426	-14.3922	P00509	P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	aspC	1AAM;1AAW;1AHE;1AHF;1AHG;1AHX;1AHY;1AIA;1AIB;1AIC;1AMQ;1AMR;1AMS;1ARG;1ARH;1ARI;1ARS;1ART;1ASA;1ASB;1ASC;1ASD;1ASE;1ASF;1ASG;1ASL;1ASM;1ASN;1B4X;1BQA;1BQD;1C9C;1CQ6;1CQ7;1CQ8;1CZC;1CZE;1G4V;1G4X;1G7W;1G7X;1IX6;1IX7;1IX8;1QIR;1QIS;1QIT;1SPA;1TOE;1TOG;1TOI;1TOJ;1TOK;1X28;1X29;1X2A;1YOO;2AAT;2D5Y;2D61;2D63;2D64;2D65;2D66;2D7Y;2D7Z;2Q7W;2QA3;2QB2;2QB3;2QBT;3AAT;3QN6;3QPG;3ZZJ;3ZZK;4A00;4DBC;4F5F;4F5G;4F5H;4F5I;4F5J;4F5K;4F5L;4F5M;5EAA;5T4L;5VWQ;5VWR;8E9C;8E9D;8E9J;8E9K;8E9L;8E9M;8E9N;8E9O;8E9P;8E9Q;8E9R;8E9S;8E9T;8E9U;8E9V	AAT_ECOLI
12,221	14.3587	14.4521	13.4592	14.0873	14.0471	13.7399	13.1961	14.3091	14.4313	14.4812	14.2588	13.8702	14.207	14.1682	13.9386	11.9315	11.8049	11.853	11.9737	13.2704	13.1785	13.4161	13.4608	13.9177	13.6651	13.7915	14.1094	13.7765	14.0419	13.8155	13.819	14.3119	13.936	13.8858	14.0969	13.9096	13.8775	14.0083	13.7447	+	JHamp_DI	6.83094	0	-1.97242	-27.6624	P00547	P00547	KHSE_ECOLI	thrB	Homoserine kinase	thrB		KHSE_ECOLI
14,3805	15.4673	15.5304	15.4588	15.464	15.4469	15.4737	15.4308	15.5995	15.5955	15.6641	15.6355	15.5061	15.6065	15.6923	15.5025	16.6462	16.7998	17.0622	16.8945	15.8423	16.0111	15.9742	15.9143	15.8404	15.8626	16.0955	15.8845	15.9782	15.984	15.9977	15.7523	15.8892	15.9044	16.0935	16.0863	16.0365	16.1702	16.0308	15.9136	+	JHamp_DI	3.91797	0	0.92264	8.78282	P00550	P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	mtlA	1A3A;1J6T;1VKR;1VRV;2FEW	PTM3C_ECOLI
16,0351	15.6044	15.6216	15.5807	15.3816	15.3203	15.3113	15.3521	15.8499	15.9051	15.9274	16.0374	15.4438	15.6274	15.5963	15.6406	14.1719	14.0737	14.0861	14.0805	14.9318	14.9353	14.8296	14.9741	15.0694	14.8906	15.337	15.3029	15.1584	14.9524	15.1233	15.1276	15.0132	15.2471	15.4736	15.5823	15.0456	15.1847	15.1078	15.2372	+	JHamp_DI	5.85678	0	-0.987364	-18.9613	P00561	P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	thrA	6MX1	AK1H_ECOLI
14,6929	14.7699	14.7229	14.7238	14.6927	14.7481	14.6721	14.7082	14.7311	14.6613	14.7705	14.6953	14.819	14.8641	14.8631	14.8377	13.7498	13.9491	14.2721	14.0353	14.3086	14.3328	14.314	14.2828	14.4251	14.4057	14.619	14.4438	14.5768	14.4955	14.599	14.3691	14.5151	14.7162	14.5854	14.5932	14.6773	14.6639	14.6403	14.6279	+	JHamp_DI	2.26237	0.000998508	-0.5085	-4.23572	P00562	P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	metL		AK2H_ECOLI
14,9768	15.8633	15.8137	15.9069	16.4366	16.6068	16.5823	16.4201	16.7774	16.8163	16.71	16.7564	16.8575	16.9245	16.7867	16.8489	15.0907	15.1158	14.743	14.5522	15.6933	15.7533	15.0812	16.0217	15.6877	15.5962	15.7902	15.8791	16.3017	16.1728	16.2073	16.2183	16.1166	16.2083	16.1157	16.0828	16.0416	15.8899	15.91	15.8429	+	JHamp_DI	4.14714	0	-1.34965	-9.64233	P00579	P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	rpoD	1SIG;1TLH;2P7V;3IYD;3T72;4JK1;4JK2;4JKR;4KMU;4KN4;4KN7;4LJZ;4LK0;4LK1;4LLG;4MEX;4MEY;4XSX;4XSY;4XSZ;4YFK;4YFN;4YFX;4YG2;4YLN;4YLO;4YLP;4ZH2;4ZH3;4ZH4;5UAC;5UAG;5UAH;5UAJ;5UAL;5UAQ;5VSW;5VT0;5W1S;5W1T;6B6H;6BYU;6C9Y;6CA0;6CUX;6JNX;6K4Y;6LDI;6N4C;6N57;6N58;6N62;6OUL;6P18;6P1K;6PB4;6PB5;6PB6;6PSQ;6PSR;6PSS;6PST;6PSU;6PSV;6PSW;6VJS;6WMU;6XH7;6XH8;6XL5;6XL9;6XLJ;6XLL;6XLM;7BEF;7BEG;7C17;7C97;7CHW;7DY6;7KHB;7KHC;7KHE;7KHI;7MKD;7MKE;7MKI;7MKJ;7N4E;7SZJ;7SZK;7UBM;7UBN;7VWY;7VWZ;7W5W;7W5X;7W5Y;7XUI;8AD1;8IGR;8IGS	RPOD_ECOLI
15,5468	15.6898	15.6717	15.6111	15.6144	15.6636	15.675	15.5794	15.685	15.6982	15.6059	15.6943	15.627	15.6252	15.5866	15.5556	14.2023	13.8925	14.4123	14.202	15.6967	15.6495	15.4668	15.6463	15.7448	15.771	15.6075	15.7401	15.9124	15.743	15.9841	15.6803	15.7293	15.7814	15.8265	15.8065	15.8018	15.8374	15.7796	15.8005	+	JHamp_DI	4.86717	0	-1.65264	-12.8619	P00582	P00582	DPO1_ECOLI	polA	DNA polymerase I	polA	1D8Y;1D9D;1D9F;1DPI;1KFD;1KFS;1KLN;1KRP;1KSP;1QSL;2KFN;2KFZ;2KZM;2KZZ	DPO1_ECOLI
12,0576	11.0953	11.1452	11.2681	11.2522	11.3266	11.1268	11.2806	11.2456	11.2008	11.1915	11.3101	11.9295	11.8852	11.9138	11.7537	12.3837	12.5142	12.219	12.0879	11.3982	11.6971	11.5273	11.8293	11.5366	11.3025	11.704	11.6895	11.8294	11.7836	11.8761	11.6317	11.7713	11.8325	11.8709	11.9901	12.2654	12.2944	12.0342	12.2379	+	JHamp_DI	2.54804	0.000473934	0.520993	4.85711	P00634	P00634	PPB_ECOLI	phoA	Alkaline phosphatase	phoA	1AJA;1AJB;1AJC;1AJD;1ALH;1ALI;1ALJ;1ALK;1ANI;1ANJ;1B8J;1ED8;1ED9;1ELX;1ELY;1ELZ;1EW8;1EW9;1HJK;1HQA;1KH4;1KH5;1KH7;1KH9;1KHJ;1KHK;1KHL;1KHN;1URA;1URB;1Y6V;1Y7A;2ANH;2G9Y;2GA3;2MLX;2MLY;2MLZ;3BDF;3BDG;3BDH;3CMR;3DPC;3DYC;3TG0;4KM4;4YR1;5C66;5GAD;5GAF;5GAG;5GAH;5JTL;5JTM;5JTN;5JTO;5JTP;5TPQ;6PPT;6PQ2;6PQE;6PQM;6PRI;6PRJ;6PRQ;6PSI;7JMM;7JN8;7JN9;7JNE;7N6J;7N6K;7N6L;7N6M	PPB_ECOLI
12,7187	12.6636	12.8292	12.9044	12.8543	12.9359	12.792	12.7564	13.2819	13.264	13.4061	13.334	12.7672	13.01	13.0739	13.0209	12.31	12.7182	12.6369	12.5668	13.1046	13.0447	13.2823	13.1885	13.1297	13.0958	13.4008	13.1382	13.5714	13.7217	13.6323	13.649	13.4609	13.4762	13.5919	13.7052	13.4687	13.4102	13.4639	13.5254	+	JHamp_DI	4.60893	0	-1.08564	-11.608	P00722	P00722	BGAL_ECOLI	lacZ	Beta-galactosidase	lacZ	1DP0;1F4A;1F4H;1HN1;1JYN;1JYV;1JYW;1JYX;1JZ2;1JZ3;1JZ4;1JZ5;1JZ6;1JZ7;1JZ8;1PX3;1PX4;3CZJ;3DYM;3DYO;3DYP;3E1F;3I3B;3I3D;3I3E;3IAP;3IAQ;3J7H;3MUY;3MUZ;3MV0;3MV1;3SEP;3T08;3T09;3T0A;3T0B;3T0D;3T2O;3T2P;3T2Q;3VD3;3VD4;3VD5;3VD7;3VD9;3VDA;3VDB;3VDC;4CKD;4DUV;4DUW;4DUX;4TTG;4V40;4V41;4V44;4V45;5A1A;6CVM;6DRV;6KUZ;6TSH;6TSK;6TTE;6X1Q;7BRS;7BTK	BGAL_ECOLI
15,4213	16.4562	16.5364	16.2981	16.2498	16.3513	16.1133	16.0914	16.4248	16.3715	16.5134	16.3808	16.5371	16.6221	16.5095	16.4963	17.4771	17.7353	18.1039	17.9909	15.9118	15.8751	15.9855	15.7472	16.0263	16.0172	16.1481	16.0946	16.1819	16.1654	16.3288	16.0175	16.3288	16.2523	16.3571	16.2325	16.4022	16.15	16.3763	16.2626	+	JHamp_DI	4.42115	0	1.6534	10.7684	P00803	P00803	LEP_ECOLI	lepB	Signal peptidase I	lepB	1B12;1KN9;1T7D;3IIQ;3S04;6B88	LEP_ECOLI
